condition,n,base_rate,roc_auc,pr_auc,pr_baseline,pr_lift,brier,brier_raw,threshold,precision,recall,f1
coronary_hd,1090519,0.06086,0.8479,0.2575,0.0609,4.23,0.04995,0.16892,0.1752,0.267,0.4455,0.3339
heart_attack,1094776,0.06001,0.8431,0.2481,0.06,4.13,0.04966,0.16976,0.1659,0.2467,0.4783,0.3255
diabetes,1067501,0.1316,0.8392,0.4309,0.1316,3.27,0.0911,0.17039,0.238,0.3867,0.6063,0.4722
depression,1093930,0.18612,0.8161,0.5582,0.1861,3.0,0.11315,0.16864,0.2851,0.518,0.5785,0.5466
stroke,1096909,0.04212,0.8141,0.1512,0.0421,3.59,0.03764,0.18193,0.1212,0.1682,0.3811,0.2334
arthritis,1092581,0.34388,0.8059,0.6656,0.3439,1.94,0.16729,0.18165,0.353,0.5552,0.7865,0.6509
skin_cancer,1095959,0.0952,0.7839,0.2525,0.0952,2.65,0.07777,0.19966,0.1823,0.257,0.4682,0.3318
kidney_disease,1095297,0.03421,0.781,0.117,0.0342,3.42,0.0315,0.1865,0.1056,0.1487,0.2873,0.196
other_cancer,1096296,0.09728,0.7557,0.22,0.0973,2.26,0.08134,0.20776,0.1497,0.2075,0.5784,0.3054
asthma,1096593,0.1349,0.6797,0.2611,0.1349,1.94,0.10982,0.22217,0.1548,0.2404,0.5054,0.3258
