condition_key,drug,rank,rank_by_rating,score,shrunk_rating,mean_rating,n_reviews,positive_rate,mean_useful,mimic_confirmed,mimic_notes_matched,mimic_match_mode
abnormal uterine bleeding,Levonorgestrel,1,28,100.2606,5.3213,5.2648,355,0.4169,13.9296,False,18,loose
abnormal uterine bleeding,Mirena,2,30,95.3184,5.2711,5.208,327,0.4098,15.1193,False,18,loose
abnormal uterine bleeding,Medroxyprogesterone,3,40,76.3368,3.4139,3.328,500,0.216,15.766,True,18,loose
abnormal uterine bleeding,Depo-Provera,4,41,67.2316,3.2235,3.1195,435,0.1977,13.9034,False,18,loose
abnormal uterine bleeding,Ethinyl estradiol / norgestimate,5,33,66.3825,4.7057,4.5678,199,0.3417,6.5729,True,18,loose
abnormal uterine bleeding,Ethinyl estradiol / norethindrone,6,24,60.7967,5.7193,5.5841,113,0.4513,7.0619,True,18,loose
abnormal uterine bleeding,Ethinyl estradiol / levonorgestrel,7,36,55.369,4.5981,4.4,145,0.2828,6.0483,True,18,loose
abnormal uterine bleeding,Loestrin 24 Fe,8,10,44.0991,6.3652,6.2083,48,0.4792,11.6875,False,18,loose
abnormal uterine bleeding,Norethindrone,9,37,39.9487,4.4664,4.0875,80,0.25,14.15,False,18,loose
abnormal uterine bleeding,Provera,10,31,36.3626,5.2485,4.8125,48,0.3542,37.7708,False,18,loose
abnormal uterine bleeding,Sprintec,11,38,32.2463,4.4294,3.8491,53,0.2642,8.5472,False,18,loose
abnormal uterine bleeding,Seasonique,12,39,30.8225,4.316,3.6863,51,0.1961,9.3529,False,18,loose
abnormal uterine bleeding,Mononessa,13,19,30.5819,5.9976,5.5385,26,0.4231,8.9231,False,18,loose
abnormal uterine bleeding,Tri-Sprintec,14,25,30.4602,5.6563,5.1034,29,0.3448,7.8621,False,18,loose
abnormal uterine bleeding,Megestrol,15,4,30.1742,6.7472,6.6,20,0.65,23.35,False,18,loose
acial wrinkles,Dermal filler,1,3,24.2992,5.8934,5.1176,17,0.4706,16.0,False,6,loose
acial wrinkles,OnabotulinumtoxinA,2,2,21.1167,6.6777,6.3,10,0.6,3.2,False,6,loose
acial wrinkles,Botox Cosmetic,3,1,17.8114,6.7321,6.2857,7,0.5714,4.4286,False,6,loose
acne,Isotretinoin,1,4,217.5349,8.3298,8.3534,682,0.846,17.978,False,0,none
acne,Adapalene / benzoyl peroxide,2,30,173.9211,7.4363,7.4461,547,0.7313,11.0567,False,0,none
acne,Accutane,3,3,173.5782,8.361,8.3991,431,0.8492,23.2111,False,0,none
acne,Doxycycline,4,39,163.5085,7.3123,7.32,500,0.706,14.972,False,0,none
acne,Epiduo,5,32,163.2937,7.4301,7.441,483,0.735,12.2899,False,0,none
acne,Benzoyl peroxide / clindamycin,6,10,149.4522,7.9209,7.9522,356,0.7921,12.2135,False,0,none
acne,Tretinoin,7,11,137.2727,7.8731,7.9079,304,0.7862,22.6842,False,0,none
acne,Spironolactone,8,15,119.8333,7.7676,7.8067,238,0.7689,25.4664,False,0,none
acne,Minocycline,9,57,115.885,6.3505,6.3273,333,0.5676,12.1051,False,0,none
acne,Drospirenone / ethinyl estradiol,10,49,115.0199,7.0391,7.0412,267,0.6592,13.9288,False,0,none
acne,Adapalene,11,47,111.0706,7.1996,7.2101,238,0.7101,19.5042,False,0,none
acne,Ethinyl estradiol / norgestimate,12,63,97.4777,5.9323,5.8852,270,0.4852,9.3481,False,0,none
acne,Dapsone,13,40,96.1167,7.3076,7.3295,173,0.7225,16.7861,False,0,none
acne,Duac,14,23,95.5971,7.5576,7.6,160,0.75,15.025,False,0,none
acne,Aczone,15,42,94.4683,7.2884,7.3095,168,0.7202,17.2619,False,0,none
actinic keratosis,Fluorouracil,1,1,32.1306,6.8503,6.7727,22,0.6818,23.5455,False,0,none
acute coronary syndrome,Effient,1,1,26.2353,7.2764,7.5385,13,0.6923,23.2308,False,3,strict
acute coronary syndrome,Prasugrel,2,2,26.2353,7.2764,7.5385,13,0.6923,23.2308,False,3,strict
acute coronary syndrome,Ticagrelor,3,3,25.9816,5.8097,5.1,20,0.35,17.85,True,3,strict
acute coronary syndrome,Brilinta,4,4,23.1618,5.6176,4.6471,17,0.2941,20.5294,True,3,strict
adhd,Lisdexamfetamine,1,16,179.8306,7.682,7.6971,548,0.7609,31.8193,False,1,loose
adhd,Vyvanse,2,17,178.0692,7.6629,7.6778,540,0.7593,32.2796,False,1,loose
adhd,Amphetamine / dextroamphetamine,3,12,169.5971,7.9421,7.9671,456,0.8048,31.9715,False,1,loose
adhd,Methylphenidate,4,28,166.9984,7.3732,7.3821,513,0.7135,31.5205,False,1,loose
adhd,Adderall,5,6,122.985,8.1628,8.2247,227,0.8458,44.0044,False,1,loose
adhd,Concerta,6,31,114.2394,7.1261,7.1323,257,0.677,39.2374,True,1,loose
adhd,Adderall XR,7,5,96.2635,8.165,8.2662,139,0.8489,29.4029,False,1,loose
adhd,Atomoxetine,8,42,92.8739,5.5014,5.4386,285,0.4667,34.4877,False,1,loose
adhd,Strattera,9,43,91.5042,5.498,5.4332,277,0.4657,35.4404,False,1,loose
adhd,Dextroamphetamine,10,2,82.5852,8.518,8.7128,94,0.9149,33.3191,False,1,loose
adhd,Dexmethylphenidate,11,25,81.072,7.4008,7.4417,120,0.7667,33.5,False,1,loose
adhd,Guanfacine,12,40,72.7772,5.8268,5.7372,156,0.5385,50.4487,False,1,loose
adhd,Intuniv,13,38,64.7513,6.2597,6.1776,107,0.5794,66.9533,False,1,loose
