condition_key,drug,rank,rank_by_rating,score,shrunk_rating,mean_rating,n_reviews,positive_rate,mean_useful
abnormal uterine bleeding,Levonorgestrel,1,28,435.1984,5.3213,5.2648,355,0.4169,13.9296
abnormal uterine bleeding,Mirena,2,30,405.3345,5.2711,5.208,327,0.4098,15.1193
abnormal uterine bleeding,Medroxyprogesterone,3,40,360.9744,3.4139,3.328,500,0.216,15.766
abnormal uterine bleeding,Depo-Provera,4,41,307.0408,3.2235,3.1195,435,0.1977,13.9034
abnormal uterine bleeding,Ethinyl estradiol / norgestimate,5,33,249.3256,4.7057,4.5678,199,0.3417,6.5729
abnormal uterine bleeding,Ethinyl estradiol / norethindrone,6,24,198.221,5.7193,5.5841,113,0.4513,7.0619
abnormal uterine bleeding,Ethinyl estradiol / levonorgestrel,7,36,192.1361,4.5981,4.4,145,0.2828,6.0483
abnormal uterine bleeding,Norethindrone,8,37,119.4746,4.4664,4.0875,80,0.25,14.15
abnormal uterine bleeding,Loestrin 24 Fe,9,10,116.0753,6.3652,6.2083,48,0.4792,11.6875
abnormal uterine bleeding,Provera,10,31,95.7117,5.2485,4.8125,48,0.3542,37.7708
abnormal uterine bleeding,Sprintec,11,38,87.006,4.4294,3.8491,53,0.2642,8.5472
abnormal uterine bleeding,Seasonique,12,39,82.3685,4.316,3.6863,51,0.1961,9.3529
abnormal uterine bleeding,Tri-Sprintec,13,25,70.6859,5.6563,5.1034,29,0.3448,7.8621
abnormal uterine bleeding,Mononessa,14,19,69.0571,5.9976,5.5385,26,0.4231,8.9231
abnormal uterine bleeding,Megestrol,15,4,63.8107,6.7472,6.6,20,0.65,23.35
acial wrinkles,Dermal filler,1,3,49.3406,5.8934,5.1176,17,0.4706,16.0
acial wrinkles,OnabotulinumtoxinA,2,2,37.5514,6.6777,6.3,10,0.6,3.2
acial wrinkles,Botox Cosmetic,3,1,28.9715,6.7321,6.2857,7,0.5714,4.4286
acne,Isotretinoin,1,4,1111.6676,8.3298,8.3534,682,0.846,17.978
acne,Adapalene / benzoyl peroxide,2,30,841.1031,7.4363,7.4461,547,0.7313,11.0567
acne,Accutane,3,3,790.8872,8.361,8.3991,431,0.8492,23.2111
acne,Doxycycline,4,39,773.184,7.3123,7.32,500,0.706,14.972
acne,Epiduo,5,32,765.5193,7.4301,7.441,483,0.735,12.2899
acne,Benzoyl peroxide / clindamycin,6,10,649.1794,7.9209,7.9522,356,0.7921,12.2135
acne,Tretinoin,7,11,573.1953,7.8731,7.9079,304,0.7862,22.6842
acne,Minocycline,8,57,495.0379,6.3505,6.3273,333,0.5676,12.1051
acne,Spironolactone,9,15,470.6755,7.7676,7.8067,238,0.7689,25.4664
acne,Drospirenone / ethinyl estradiol,10,49,464.944,7.0391,7.0412,267,0.6592,13.9288
acne,Adapalene,11,47,436.2579,7.1996,7.2101,238,0.7101,19.5042
acne,Ethinyl estradiol / norgestimate,12,63,395.1355,5.9323,5.8852,270,0.4852,9.3481
acne,Dapsone,13,40,348.5863,7.3076,7.3295,173,0.7225,16.7861
acne,Aczone,14,42,340.1052,7.2884,7.3095,168,0.7202,17.2619
acne,Duac,15,23,339.9966,7.5576,7.6,160,0.75,15.025
actinic keratosis,Fluorouracil,1,1,69.5864,6.8503,6.7727,22,0.6818,23.5455
acute coronary syndrome,Ticagrelor,1,3,54.9444,5.8097,5.1,20,0.35,17.85
acute coronary syndrome,Effient,2,1,49.8164,7.2764,7.5385,13,0.6923,23.2308
acute coronary syndrome,Prasugrel,3,2,49.8164,7.2764,7.5385,13,0.6923,23.2308
acute coronary syndrome,Brilinta,4,4,47.031,5.6176,4.6471,17,0.2941,20.5294
adhd,Lisdexamfetamine,1,16,870.0789,7.682,7.6971,548,0.7609,31.8193
adhd,Vyvanse,2,17,858.3952,7.6629,7.6778,540,0.7593,32.2796
adhd,Methylphenidate,3,28,794.7704,7.3732,7.3821,513,0.7135,31.5205
adhd,Amphetamine / dextroamphetamine,4,12,783.7178,7.9421,7.9671,456,0.8048,31.9715
adhd,Adderall,5,6,477.3738,8.1628,8.2247,227,0.8458,44.0044
adhd,Concerta,6,31,457.4031,7.1261,7.1323,257,0.677,39.2374
adhd,Atomoxetine,7,42,381.5971,5.5014,5.4386,285,0.4667,34.4877
adhd,Strattera,8,43,373.3026,5.498,5.4332,277,0.4657,35.4404
adhd,Adderall XR,9,5,330.5333,8.165,8.2662,139,0.8489,29.4029
adhd,Dexmethylphenidate,10,25,268.3281,7.4008,7.4417,120,0.7667,33.5
adhd,Guanfacine,11,40,257.2033,5.8268,5.7372,156,0.5385,50.4487
adhd,Dextroamphetamine,12,2,257.1486,8.518,8.7128,94,0.9149,33.3191
adhd,Intuniv,13,38,208.2544,6.2597,6.1776,107,0.5794,66.9533
adhd,Ritalin,14,26,190.0992,7.3853,7.4474,76,0.75,35.7632
adhd,Bupropion,15,24,183.5868,7.4275,7.5,72,0.75,70.1806
agitated state,Aripiprazole,1,1,72.8632,6.7197,6.5833,24,0.625,30.75
agitated state,Abilify,2,2,67.1963,6.615,6.4091,22,0.5909,33.1364
alcohol dependence,Acamprosate,1,2,360.6765,8.722,8.8671,143,0.9021,62.6573
alcohol dependence,Campral,2,1,324.0533,8.8277,9.0082,122,0.918,70.4672
alcohol dependence,Naltrexone,3,4,311.4518,8.4844,8.6311,122,0.877,63.3115
alcohol dependence,Disulfiram,4,5,183.2612,8.396,8.6721,61,0.8689,77.2787
alcohol dependence,Antabuse,5,3,159.3681,8.6051,9.0,49,0.898,93.2857
alcohol dependence,Vivitrol,6,6,60.668,7.9596,8.7333,15,0.9333,95.5333
alcohol dependence,Revia,7,7,25.5516,7.6417,9.2,5,1.0,154.2
alcohol withdrawal,Chlordiazepoxide,1,2,266.2114,9.1872,9.4831,89,0.9663,51.0112
alcohol withdrawal,Librium,2,1,246.5352,9.2164,9.55,80,0.975,56.2125
alcohol withdrawal,Baclofen,3,3,172.615,8.6653,9.037,54,0.9444,47.8148
alcohol withdrawal,Gabapentin,4,4,104.3524,8.1407,8.6,30,0.8667,64.8
alcohol withdrawal,Diazepam,5,5,40.557,7.8052,8.8889,9,0.8889,40.1111
alcohol withdrawal,Valium,6,6,32.5956,7.5742,8.5714,7,0.8571,48.5714
allergic reactions,Diphenhydramine,1,2,86.3936,7.7273,8.08,25,0.8,16.72
allergic reactions,Prednisone,2,7,80.8742,7.0239,7.0385,26,0.6154,27.7308
allergic reactions,Benadryl Allergy,3,4,42.9192,7.6322,8.4,10,0.8,24.3
allergic reactions,Chlorpheniramine,4,1,41.7942,8.0433,9.4444,9,1.0,12.0
allergic reactions,Benadryl,5,5,40.6187,7.2231,7.5,10,0.7,14.5
allergic reactions,Cyproheptadine,6,3,29.585,7.7172,9.1667,6,1.0,13.1667
allergic reactions,Promethazine,7,6,23.9781,7.1711,7.6,5,0.8,10.6
allergic rhinitis,Cetirizine,1,27,205.87,6.7655,6.7368,95,0.6,16.5263
allergic rhinitis,Montelukast,2,42,165.0949,5.846,5.686,86,0.4884,31.8721
allergic rhinitis,Azelastine / fluticasone,3,28,153.6769,6.7131,6.6615,65,0.5846,10.1692
allergic rhinitis,Dymista,4,29,153.6769,6.7131,6.6615,65,0.5846,10.1692
allergic rhinitis,Azelastine,5,12,151.8971,7.521,7.6364,55,0.7273,16.5818
allergic rhinitis,Zyrtec,6,30,150.9216,6.6699,6.6094,64,0.5938,22.4062
allergic rhinitis,Fexofenadine,7,32,143.0956,6.6376,6.5667,60,0.6,13.85
allergic rhinitis,Triamcinolone,8,35,130.1936,6.4464,6.3273,55,0.5818,13.3455
allergic rhinitis,Fluticasone,9,37,124.6252,6.2562,6.0926,54,0.5556,14.4444
allergic rhinitis,Singulair,10,33,122.6312,6.6215,6.5306,49,0.5918,47.2245
allergic rhinitis,Allegra,11,24,110.3925,6.9406,6.925,40,0.65,17.95
allergic rhinitis,Mometasone,12,19,101.5946,7.2154,7.2941,34,0.6765,14.2941
allergic rhinitis,Levocetirizine,13,11,99.2693,7.556,7.7742,31,0.7097,18.8387
allergic rhinitis,Loratadine,14,40,96.5771,5.9606,5.6585,41,0.5122,15.8293
allergic rhinitis,Nasacort,15,38,96.3223,6.0559,5.775,40,0.525,13.95
allergic urticaria,Hydroxyzine,1,1,63.5887,6.4821,6.1905,21,0.5714,31.5238
allergies,Levocetirizine,1,3,168.9789,5.4671,5.2784,97,0.4536,16.7835
allergies,Xyzal,2,4,147.5165,5.2236,4.9767,86,0.4186,17.814
allergies,Hydroxyzine,3,1,102.523,8.4227,9.0357,28,0.9286,24.0714
allergies,Atarax,4,2,48.0344,7.9526,9.0,11,0.9091,29.4545
alopecia,Minoxidil,1,5,154.4155,6.5938,6.5224,67,0.6119,54.0
alopecia,Spironolactone,2,1,68.1366,7.797,8.3333,18,0.7778,77.1111
alopecia,Rogaine,3,6,49.9407,6.5522,6.2,15,0.6,87.9333
alopecia,Triamcinolone,4,2,43.686,7.7686,8.7,10,0.9,31.3
alopecia,Kenalog-10,5,3,36.606,7.6955,8.75,8,0.875,36.5
alopecia,Rogaine Women's,6,4,24.3715,7.2888,8.0,5,0.8,59.2
alzheimer s,Donepezil,1,6,72.748,5.407,4.8125,32,0.4062,70.8125
alzheimer s,Rivastigmine,2,3,53.974,6.7468,6.5625,16,0.625,24.8125
alzheimer s,Aricept,3,4,53.2805,6.097,5.5,18,0.5,105.2778
alzheimer s,Memantine,4,7,45.0101,5.3762,4.2353,17,0.2941,47.8824
alzheimer s,Exelon,5,2,44.033,6.8295,6.6667,12,0.6667,30.4167
alzheimer s,Galantamine,6,1,34.4654,7.2455,7.625,8,0.75,11.75
alzheimer s,Namenda,7,5,31.6724,5.6322,4.0,10,0.2,63.4
amenorrhea,Medroxyprogesterone,1,1,164.8814,7.7452,7.8983,59,0.7627,20.9322
amenorrhea,Provera,2,2,121.4039,7.6329,7.825,40,0.775,25.75
amenorrhea,Depo-Provera,3,3,28.0942,7.3283,8.0,6,0.8333,15.1667
amenorrhea,Norethindrone,4,4,27.0292,7.0505,7.1667,6,0.8333,3.3333
androgenetic alopecia,Finasteride,1,2,121.607,6.1047,5.9074,54,0.5926,24.3148
androgenetic alopecia,Propecia,2,1,37.0046,6.1265,5.1818,11,0.5455,41.0
anemia,Multivitamin with iron,1,1,54.198,7.9164,8.7692,13,0.9231,13.6154
anesthesia,Propofol,1,2,522.3783,8.0216,8.0687,262,0.7786,14.7099
anesthesia,Diprivan,2,1,70.7582,8.097,8.8333,18,0.8889,28.8889
anesthesia,Ketamine,3,6,37.5855,5.8295,4.6667,12,0.4167,19.8333
anesthesia,Lidocaine / prilocaine,4,3,36.1303,7.5955,8.5,8,0.875,10.125
anesthesia,Succinylcholine,5,7,25.7109,4.9481,2.2222,9,0.0,6.5556
anesthesia,Emla,6,4,24.9616,7.4652,8.6,5,0.8,12.8
anesthesia,Lidocaine,7,5,23.1956,6.0505,4.1667,6,0.3333,6.5
angina,Ranolazine,1,4,121.1797,7.2165,7.2791,43,0.6977,30.5349
angina,Ranexa,2,2,108.0559,7.3523,7.4722,36,0.7222,35.8889
angina,Metoprolol,3,3,34.7032,7.2955,7.75,8,0.75,18.25
angina,Isosorbide mononitrate,4,5,32.2776,5.3439,3.5455,11,0.2727,3.2727
angina,Nitroglycerin,5,1,29.372,7.6616,9.0,6,1.0,33.1667
angina pectoris prophylaxis,Isosorbide mononitrate,1,1,52.5162,6.2727,5.7647,17,0.5882,35.8235
angina pectoris prophylaxis,Imdur,2,2,23.1956,6.0505,4.1667,6,0.3333,53.8333
ankylosing spondylitis,Adalimumab,1,4,127.2858,7.5802,7.7442,43,0.7674,34.1163
ankylosing spondylitis,Humira,2,5,127.2858,7.5802,7.7442,43,0.7674,34.1163
ankylosing spondylitis,Etanercept,3,1,118.458,7.8961,8.1892,37,0.8108,17.1351
ankylosing spondylitis,Enbrel,4,2,115.4044,7.8523,8.1389,36,0.8056,17.5833
ankylosing spondylitis,Golimumab,5,7,50.3641,7.3564,7.6923,13,0.7692,17.3077
ankylosing spondylitis,Simponi,6,6,48.0626,7.4545,7.9167,12,0.8333,18.6667
ankylosing spondylitis,Diclofenac,7,8,46.4507,7.2045,7.4167,12,0.6667,13.0
ankylosing spondylitis,Indomethacin,8,3,36.1303,7.5955,8.5,8,0.875,7.75
ankylosing spondylitis,Infliximab,9,10,33.2762,6.9955,7.0,8,0.75,20.125
ankylosing spondylitis,Remicade,10,11,30.104,6.9952,7.0,7,0.7143,22.8571
ankylosing spondylitis,Voltaren,11,9,27.4552,7.1616,7.5,6,0.8333,21.0
ankylosing spondylitis,Naproxen,12,12,22.4046,6.7005,6.0,5,0.6,6.8
ankylosing spondylitis,Cosentyx,13,13,21.2788,5.5505,2.6667,6,0.1667,15.1667
ankylosing spondylitis,Secukinumab,14,14,21.2788,5.5505,2.6667,6,0.1667,15.1667
anorexia,Cyproheptadine,1,1,241.2412,8.6176,8.8471,85,0.8941,53.6
anorexia,Dronabinol,2,3,41.6412,7.405,7.9,10,0.8,24.9
anorexia,Marinol,3,2,32.3691,7.5215,8.4286,7,0.8571,30.5714
anorexia,Megestrol,4,4,31.6896,7.3636,8.0,7,0.7143,17.7143
anxiety,Escitalopram,1,20,1027.413,7.8104,7.8251,669,0.7758,36.6667
anxiety,Alprazolam,2,3,1011.6867,8.7883,8.8268,560,0.8982,35.8571
anxiety,Clonazepam,3,8,939.5006,8.5295,8.5644,528,0.8769,40.4205
anxiety,Lexapro,4,17,812.3508,7.8847,7.9068,483,0.793,46.2609
anxiety,Lorazepam,5,11,760.5817,8.2422,8.2782,417,0.8273,38.9976
anxiety,Xanax,6,5,740.2842,8.6871,8.7413,375,0.8853,46.7307
anxiety,Buspirone,7,48,708.2142,6.3398,6.3253,538,0.5892,54.6041
anxiety,Klonopin,8,7,591.292,8.547,8.6127,284,0.8944,60.2887
anxiety,Diazepam,9,4,561.7364,8.7008,8.7799,259,0.8996,62.0888
anxiety,Hydroxyzine,10,51,541.2479,5.8132,5.7796,422,0.5403,38.7299
